Student_ID,Year,Semester,Attendance_Percent,Projects_Completed,Certifications,Programming_Curriculum,Programming_Industry,Programming_Gap,Database_Curriculum,Database_Industry,Database_Gap,Cloud_Curriculum,Cloud_Industry,Cloud_Gap,DataAnalysis_Curriculum,DataAnalysis_Industry,DataAnalysis_Gap,ProblemSolving_Curriculum,ProblemSolving_Industry,ProblemSolving_Gap,Communication_Curriculum,Communication_Industry,Communication_Gap,Teamwork_Curriculum,Teamwork_Industry,Teamwork_Gap,Aptitude_Curriculum,Aptitude_Industry,Aptitude_Gap,Overall_Gap_Score,Skill_Gap_Category,Priority_Training_Area,Employability_Readiness
CSE26150,4,8,75.3,2,1,4.8,9.0,4.2,4.7,5.8,1.1,3.2,6.8,3.6,5.2,6.7,1.5,6.1,8.3,2.2,5.6,7.1,1.5,5.7,6.5,0.8,6.2,7.7,1.5,2.05,High,Programming,8.04
CSE26136,3,6,72.1,2,1,7.3,8.9,1.6,7.5,7.6,0.1,6.6,7.1,0.5,7.7,7.0,-0.7,9.1,8.4,-0.7,8.5,6.6,-1.9,8.7,6.9,-1.8,8.1,7.6,-0.5,-0.42,Low,Programming,10.0
CSE26062,4,8,79.0,1,1,7.1,8.2,1.1,6.2,7.6,1.4,6.2,6.1,-0.1,5.8,7.5,1.7,5.6,8.1,2.5,7.1,7.3,0.2,7.0,6.4,-0.6,6.7,7.7,1.0,0.9,Medium,Problem Solving,9.12
CSE26061,4,8,83.8,1,0,8.6,8.0,-0.6,7.9,7.7,-0.2,4.8,6.7,1.9,7.2,7.0,-0.2,7.0,7.9,0.9,6.4,6.5,0.1,7.5,7.9,0.4,6.7,7.2,0.5,0.35,Low,Cloud Computing,9.76
CSE26140,4,8,81.5,3,1,8.3,7.7,-0.6,7.7,7.4,-0.3,6.2,6.9,0.7,7.7,7.1,-0.6,7.0,8.9,1.9,7.3,7.6,0.3,8.6,8.2,-0.4,7.6,8.3,0.7,0.21,Low,Problem Solving,9.88
CSE26058,3,6,75.2,1,1,4.6,7.5,2.9,6.4,7.3,0.9,5.0,6.4,1.4,5.8,7.3,1.5,4.5,7.6,3.1,5.7,7.0,1.3,6.7,7.1,0.4,6.9,8.4,1.5,1.62,Medium,Problem Solving,8.63
CSE26114,3,6,76.8,2,2,6.9,8.7,1.8,6.6,7.1,0.5,5.8,7.7,1.9,7.5,7.2,-0.3,7.0,8.1,1.1,6.8,6.2,-0.6,6.5,6.9,0.4,6.1,7.5,1.4,0.78,Medium,Cloud Computing,9.18
CSE26057,4,8,90.7,3,0,10.0,7.3,-2.7,9.8,7.1,-2.7,8.2,6.4,-1.8,8.5,7.4,-1.1,10.0,7.9,-2.1,9.0,8.1,-0.9,8.6,7.1,-1.5,10.0,7.9,-2.1,-1.86,Low,Communication,10.0
CSE26106,3,5,95.3,1,1,9.2,8.0,-1.2,8.6,7.3,-1.3,8.2,7.2,-1.0,8.2,8.2,0.0,10.0,7.6,-2.4,7.9,7.7,-0.2,6.8,6.6,-0.2,10.0,7.7,-2.3,-1.08,Low,Data Analysis,10.0
CSE26005,3,6,83.9,2,3,10.0,8.1,-1.9,9.9,7.0,-2.9,7.8,7.8,0.0,8.7,7.5,-1.2,7.7,8.1,0.4,8.8,6.7,-2.1,7.9,7.5,-0.4,10.0,7.7,-2.3,-1.3,Low,Problem Solving,10.0
CSE26110,3,6,83.7,4,0,7.3,7.6,0.3,6.3,7.6,1.3,6.7,6.9,0.2,8.2,6.3,-1.9,8.2,8.6,0.4,5.7,7.8,2.1,9.2,6.8,-2.4,6.5,7.6,1.1,0.14,Low,Communication,9.85
CSE26105,3,5,94.2,3,0,9.0,7.7,-1.3,7.0,7.3,0.3,7.4,7.1,-0.3,7.1,7.1,0.0,8.3,8.8,0.5,7.1,6.8,-0.3,9.7,7.7,-2.0,9.2,7.1,-2.1,-0.65,Low,Problem Solving,10.0
CSE26002,4,7,75.6,1,0,5.3,8.5,3.2,5.8,7.1,1.3,4.4,7.1,2.7,2.6,7.0,4.4,4.5,8.4,3.9,6.1,6.8,0.7,5.4,6.7,1.3,4.5,7.8,3.3,2.6,High,Data Analysis,7.76
CSE26180,3,6,89.5,2,1,8.4,8.7,0.3,9.0,7.8,-1.2,8.1,6.8,-1.3,8.3,6.6,-1.7,10.0,8.2,-1.8,7.3,7.3,0.0,7.8,7.3,-0.5,8.3,8.4,0.1,-0.76,Low,Programming,10.0
CSE26157,4,8,91.3,3,0,9.6,8.5,-1.1,8.3,7.1,-1.2,8.9,5.7,-3.2,8.9,7.9,-1.0,9.6,7.7,-1.9,7.8,6.4,-1.4,7.3,6.7,-0.6,8.9,7.6,-1.3,-1.46,Low,Teamwork,10.0
CSE26059,3,5,97.8,3,0,10.0,7.6,-2.4,9.2,7.6,-1.6,9.4,6.9,-2.5,8.9,7.9,-1.0,10.0,8.0,-2.0,8.9,6.9,-2.0,9.8,7.9,-1.9,10.0,8.0,-2.0,-1.92,Low,Data Analysis,10.0
CSE26130,3,6,71.7,4,2,6.7,8.4,1.7,6.2,7.1,0.9,5.3,7.1,1.8,6.3,6.2,-0.1,6.1,8.3,2.2,6.2,7.4,1.2,7.0,7.2,0.2,5.6,8.5,2.9,1.35,Medium,Aptitude,9.41
CSE26109,3,5,85.3,4,1,8.3,7.9,-0.4,9.0,7.0,-2.0,9.1,6.7,-2.4,9.2,6.4,-2.8,9.1,8.1,-1.0,8.3,7.0,-1.3,7.8,6.8,-1.0,8.4,7.3,-1.1,-1.5,Low,Programming,10.0
CSE26179,3,6,91.4,5,1,9.5,7.3,-2.2,9.4,6.2,-3.2,8.7,6.8,-1.9,9.6,6.8,-2.8,10.0,8.1,-1.9,8.9,6.8,-2.1,9.7,6.9,-2.8,10.0,7.9,-2.1,-2.38,Low,Cloud Computing,10.0
CSE26038,4,8,81.9,4,1,9.2,8.7,-0.5,6.6,6.8,0.2,5.9,6.5,0.6,7.2,7.0,-0.2,8.9,7.5,-1.4,7.2,7.1,-0.1,7.9,6.7,-1.2,7.0,7.0,0.0,-0.32,Low,Cloud Computing,9.93
CSE26144,4,8,99.0,0,3,10.0,7.7,-2.3,8.9,8.1,-0.8,9.5,7.1,-2.4,9.9,6.4,-3.5,10.0,7.7,-2.3,8.3,7.3,-1.0,7.9,7.2,-0.7,9.8,8.5,-1.3,-1.79,Low,Teamwork,10.0
CSE26042,4,8,93.4,4,0,9.9,8.0,-1.9,8.1,7.0,-1.1,9.8,6.9,-2.9,8.4,7.2,-1.2,9.0,7.2,-1.8,7.7,7.6,-0.1,7.5,6.9,-0.6,9.3,7.7,-1.6,-1.4,Low,Communication,10.0
CSE26050,4,7,99.0,1,0,9.8,6.7,-3.1,7.4,7.4,0.0,9.1,6.7,-2.4,5.8,6.3,0.5,8.9,7.8,-1.1,9.8,6.6,-3.2,8.8,7.1,-1.7,8.4,8.0,-0.4,-1.42,Low,Data Analysis,10.0
CSE26031,4,8,99.0,2,0,10.0,8.1,-1.9,7.9,5.7,-2.2,10.0,6.9,-3.1,9.1,7.1,-2.0,9.0,7.8,-1.2,8.8,7.0,-1.8,8.4,6.6,-1.8,9.7,8.4,-1.3,-1.91,Low,Problem Solving,10.0
CSE26097,3,6,72.1,1,1,5.6,7.8,2.2,4.9,6.7,1.8,5.7,7.8,2.1,4.9,7.7,2.8,6.7,8.4,1.7,7.1,7.9,0.8,7.5,6.9,-0.6,6.0,8.2,2.2,1.62,Medium,Data Analysis,8.22
CSE26175,4,7,69.0,3,3,6.9,7.5,0.6,6.2,7.1,0.9,5.2,8.1,2.9,4.3,6.8,2.5,5.8,8.4,2.6,6.2,6.6,0.4,4.5,7.0,2.5,6.0,7.0,1.0,1.68,Medium,Cloud Computing,8.11
CSE26161,3,6,83.0,1,0,8.1,7.3,-0.8,7.9,7.5,-0.4,6.8,6.6,-0.2,7.2,6.9,-0.3,7.6,8.7,1.1,7.8,6.9,-0.9,8.9,7.6,-1.3,7.4,8.4,1.0,-0.22,Low,Problem Solving,10.0
CSE26163,3,6,94.3,1,1,9.0,7.9,-1.1,8.6,6.6,-2.0,7.5,6.7,-0.8,8.1,7.1,-1.0,8.6,8.1,-0.5,9.2,7.5,-1.7,8.8,7.4,-1.4,9.2,7.0,-2.2,-1.34,Low,Problem Solving,10.0
CSE26093,4,8,91.7,5,1,10.0,8.8,-1.2,7.2,7.1,-0.1,7.8,7.0,-0.8,8.9,6.5,-2.4,9.1,8.0,-1.1,8.2,7.2,-1.0,8.0,6.7,-1.3,8.5,8.6,0.1,-0.98,Low,Aptitude,10.0
CSE26081,3,6,97.4,5,1,10.0,7.9,-2.1,10.0,7.0,-3.0,10.0,7.4,-2.6,9.8,7.5,-2.3,10.0,8.5,-1.5,10.0,6.3,-3.7,10.0,7.8,-2.2,10.0,8.1,-1.9,-2.41,Low,Problem Solving,10.0
CSE26124,3,6,71.8,4,2,6.1,7.5,1.4,6.0,7.3,1.3,4.8,6.5,1.7,6.0,7.2,1.2,7.4,8.0,0.6,7.1,6.9,-0.2,8.2,8.0,-0.2,6.5,7.4,0.9,0.84,Medium,Cloud Computing,9.15
CSE26127,4,8,78.5,0,1,5.4,7.2,1.8,5.2,7.5,2.3,4.2,6.4,2.2,3.8,7.6,3.8,6.7,7.7,1.0,5.6,6.9,1.3,6.0,7.5,1.5,5.4,7.4,2.0,1.99,High,Data Analysis,8.05
CSE26073,4,8,71.3,1,1,4.4,8.5,4.1,4.6,7.3,2.7,4.9,6.9,2.0,5.6,7.8,2.2,4.8,8.0,3.2,4.6,6.2,1.6,7.1,6.2,-0.9,4.7,6.8,2.1,2.12,High,Programming,7.62
CSE26096,3,5,77.4,4,0,7.7,8.1,0.4,6.2,6.6,0.4,5.8,6.7,0.9,6.8,7.1,0.3,8.1,7.3,-0.8,7.1,6.3,-0.8,7.7,6.7,-1.0,7.3,7.4,0.1,-0.06,Low,Cloud Computing,10.0
CSE26165,4,7,87.4,1,1,8.7,7.8,-0.9,8.0,7.7,-0.3,6.0,6.4,0.4,8.4,7.5,-0.9,8.3,8.1,-0.2,5.6,7.3,1.7,7.0,6.8,-0.2,7.4,8.0,0.6,0.02,Low,Communication,10.0
CSE26053,3,5,82.7,1,0,8.8,7.7,-1.1,7.6,7.6,0.0,7.0,7.1,0.1,6.1,6.2,0.1,7.9,7.7,-0.2,7.1,7.4,0.3,7.2,8.1,0.9,8.5,7.6,-0.9,-0.1,Low,Teamwork,10.0
CSE26173,4,8,89.3,3,3,10.0,7.8,-2.2,8.8,7.2,-1.6,9.0,6.8,-2.2,7.4,7.1,-0.3,10.0,7.3,-2.7,8.2,7.2,-1.0,9.7,7.6,-2.1,10.0,8.1,-1.9,-1.75,Low,Data Analysis,10.0
CSE26004,4,7,94.5,3,1,10.0,8.0,-2.0,9.5,6.8,-2.7,10.0,7.1,-2.9,9.7,7.8,-1.9,10.0,8.0,-2.0,8.8,7.5,-1.3,10.0,7.5,-2.5,10.0,7.8,-2.2,-2.19,Low,Communication,10.0
CSE26014,3,6,80.5,2,4,8.3,7.7,-0.6,9.0,6.7,-2.3,7.3,6.7,-0.6,8.0,6.7,-1.3,9.3,8.5,-0.8,8.2,6.9,-1.3,8.7,7.0,-1.7,9.5,7.4,-2.1,-1.34,Low,Programming,10.0
CSE26056,3,6,93.0,1,2,8.9,8.6,-0.3,8.7,7.9,-0.8,7.9,6.3,-1.6,8.6,6.5,-2.1,9.4,8.3,-1.1,7.5,7.1,-0.4,8.4,7.6,-0.8,9.0,7.5,-1.5,-1.08,Low,Programming,10.0
CSE26065,4,7,82.9,2,2,7.0,7.8,0.8,7.9,7.0,-0.9,6.4,7.3,0.9,7.4,7.6,0.2,8.4,6.9,-1.5,6.4,6.6,0.2,7.5,7.9,0.4,6.8,7.9,1.1,0.15,Low,Aptitude,10.0
CSE26075,4,7,82.6,2,1,9.8,8.3,-1.5,7.2,7.6,0.4,8.5,6.1,-2.4,8.3,6.7,-1.6,9.0,8.1,-0.9,8.5,7.1,-1.4,9.5,7.2,-2.3,8.8,7.5,-1.3,-1.38,Low,Databases,10.0
CSE26040,3,5,78.4,1,1,7.8,8.2,0.4,7.0,7.2,0.2,6.5,7.4,0.9,4.5,7.0,2.5,8.2,8.9,0.7,7.2,7.2,0.0,7.3,7.2,-0.1,6.9,7.5,0.6,0.65,Low,Data Analysis,9.46
CSE26176,4,8,87.7,3,1,9.2,8.7,-0.5,9.1,6.8,-2.3,7.0,7.4,0.4,7.3,7.0,-0.3,8.7,8.0,-0.7,8.1,6.9,-1.2,8.7,6.9,-1.8,7.9,7.4,-0.5,-0.86,Low,Cloud Computing,10.0
CSE26077,4,7,71.9,3,1,6.5,8.7,2.2,5.8,7.8,2.0,5.6,7.0,1.4,5.3,6.9,1.6,7.4,8.6,1.2,6.6,7.5,0.9,7.6,7.1,-0.5,6.8,7.5,0.7,1.19,Medium,Programming,8.36
CSE26089,4,8,75.8,3,2,6.8,7.7,0.9,7.1,6.7,-0.4,6.4,7.1,0.7,6.6,7.5,0.9,7.4,7.3,-0.1,7.3,8.2,0.9,8.1,6.2,-1.9,6.8,7.5,0.7,0.21,Low,Programming,9.95
CSE26032,4,8,99.0,6,0,10.0,8.1,-1.9,10.0,7.3,-2.7,8.9,6.7,-2.2,9.5,6.4,-3.1,10.0,8.1,-1.9,7.3,7.6,0.3,9.3,6.7,-2.6,10.0,6.9,-3.1,-2.15,Low,Communication,10.0
CSE26083,4,8,96.4,2,1,10.0,8.2,-1.8,10.0,6.9,-3.1,9.8,6.9,-2.9,9.1,6.7,-2.4,10.0,7.9,-2.1,7.8,7.1,-0.7,9.2,7.8,-1.4,10.0,7.2,-2.8,-2.15,Low,Communication,10.0
CSE26021,3,5,92.0,3,1,8.3,8.7,0.4,8.0,7.0,-1.0,7.0,6.4,-0.6,7.5,7.7,0.2,9.9,8.1,-1.8,6.7,6.7,0.0,6.6,6.9,0.3,9.1,7.8,-1.3,-0.48,Low,Programming,10.0
CSE26067,3,6,68.4,2,1,6.7,7.6,0.9,5.1,6.3,1.2,4.9,6.3,1.4,5.3,7.0,1.7,5.9,8.4,2.5,5.2,6.6,1.4,6.0,8.2,2.2,5.9,8.2,2.3,1.7,Medium,Problem Solving,7.85
CSE26146,3,6,69.0,7,4,7.7,8.3,0.6,7.7,7.7,0.0,7.0,6.0,-1.0,6.3,7.2,0.9,6.1,9.2,3.1,8.5,6.4,-2.1,9.0,7.2,-1.8,7.8,8.2,0.4,0.01,Low,Problem Solving,10.0
CSE26023,4,8,79.1,1,5,9.3,7.9,-1.4,7.7,7.1,-0.6,7.0,7.4,0.4,4.9,7.5,2.6,8.1,7.9,-0.2,5.8,6.6,0.8,8.7,6.7,-2.0,7.8,7.5,-0.3,-0.09,Low,Data Analysis,9.66
CSE26051,3,6,92.0,2,2,9.3,8.6,-0.7,8.2,7.2,-1.0,6.5,6.2,-0.3,7.7,7.6,-0.1,8.4,7.3,-1.1,5.8,6.6,0.8,8.2,7.4,-0.8,8.4,7.7,-0.7,-0.49,Low,Communication,10.0
CSE26012,4,7,85.3,2,5,7.4,7.3,-0.1,9.5,7.7,-1.8,6.0,7.1,1.1,10.0,7.0,-3.0,8.7,7.4,-1.3,8.4,6.6,-1.8,8.4,6.7,-1.7,8.8,7.9,-0.9,-1.19,Low,Cloud Computing,10.0
CSE26100,4,8,72.4,1,1,5.7,8.0,2.3,7.1,7.6,0.5,5.0,6.6,1.6,4.3,7.0,2.7,6.5,8.0,1.5,4.9,7.2,2.3,5.8,7.6,1.8,5.6,6.8,1.2,1.74,Medium,Data Analysis,8.24
CSE26122,4,8,74.0,3,3,7.1,6.9,-0.2,7.1,7.2,0.1,7.5,7.0,-0.5,6.3,6.7,0.4,7.9,7.6,-0.3,7.0,6.4,-0.6,7.2,7.1,-0.1,7.8,7.6,-0.2,-0.18,Low,Data Analysis,10.0
CSE26043,4,7,79.8,2,1,6.7,9.4,2.7,7.6,7.1,-0.5,4.5,7.8,3.3,6.5,7.0,0.5,6.7,7.8,1.1,6.7,7.3,0.6,6.8,7.0,0.2,6.1,7.8,1.7,1.2,Medium,Cloud Computing,8.98
CSE26142,3,5,80.1,4,4,7.2,7.6,0.4,4.9,7.0,2.1,5.1,8.1,3.0,6.0,8.2,2.2,8.3,7.9,-0.4,5.8,6.7,0.9,6.8,6.9,0.1,5.8,8.3,2.5,1.35,Medium,Cloud Computing,8.27
CSE26018,3,6,81.4,5,2,7.4,7.6,0.2,7.4,7.4,0.0,6.8,7.4,0.6,7.0,7.0,0.0,8.9,7.8,-1.1,7.9,6.9,-1.0,8.0,7.0,-1.0,9.5,7.4,-2.1,-0.55,Low,Cloud Computing,10.0
CSE26153,3,5,70.3,3,2,5.3,7.9,2.6,6.7,7.7,1.0,4.9,6.9,2.0,5.4,7.5,2.1,6.5,7.5,1.0,7.4,6.6,-0.8,6.5,7.3,0.8,6.8,8.3,1.5,1.27,Medium,Programming,8.72
CSE26068,4,8,81.7,0,3,8.3,9.5,1.2,7.8,6.8,-1.0,6.2,7.3,1.1,8.5,7.4,-1.1,7.3,8.0,0.7,6.6,6.4,-0.2,7.4,7.6,0.2,7.2,7.4,0.2,0.14,Low,Programming,9.55
CSE26169,4,7,80.2,1,0,7.3,7.4,0.1,7.2,7.5,0.3,5.2,7.3,2.1,5.5,7.2,1.7,7.8,7.5,-0.3,5.7,7.1,1.4,5.7,7.6,1.9,7.5,7.5,0.0,0.9,Medium,Cloud Computing,9.28
CSE26138,4,8,93.8,2,0,8.9,8.3,-0.6,7.9,6.7,-1.2,7.1,6.3,-0.8,8.6,6.5,-2.1,9.3,7.8,-1.5,7.0,8.0,1.0,7.5,7.0,-0.5,6.8,7.4,0.6,-0.64,Low,Communication,10.0
CSE26024,3,6,79.7,1,2,5.4,8.3,2.9,6.0,7.0,1.0,7.0,6.9,-0.1,7.9,7.5,-0.4,7.3,8.7,1.4,6.4,7.3,0.9,7.9,6.7,-1.2,6.1,7.7,1.6,0.76,Medium,Programming,9.33
CSE26054,4,8,83.8,3,1,7.3,7.6,0.3,8.4,7.3,-1.1,6.8,7.1,0.3,7.5,7.2,-0.3,8.2,7.5,-0.7,7.9,7.3,-0.6,7.5,7.5,0.0,7.2,8.2,1.0,-0.14,Low,Aptitude,10.0
CSE26092,4,8,86.6,3,1,8.8,8.6,-0.2,8.8,8.0,-0.8,8.7,6.0,-2.7,7.4,7.4,0.0,9.7,8.6,-1.1,7.7,6.6,-1.1,9.2,6.5,-2.7,8.8,7.3,-1.5,-1.26,Low,Data Analysis,10.0
CSE26174,3,6,84.8,2,1,9.1,7.4,-1.7,7.3,6.6,-0.7,7.8,7.3,-0.5,7.1,7.2,0.1,9.5,7.9,-1.6,7.2,6.7,-0.5,7.7,7.0,-0.7,9.5,6.9,-2.6,-1.03,Low,Data Analysis,10.0
CSE26134,4,8,81.3,1,1,6.1,8.0,1.9,6.9,7.2,0.3,5.7,6.8,1.1,3.9,6.9,3.0,5.6,8.0,2.4,6.0,7.0,1.0,6.4,7.5,1.1,6.5,8.1,1.6,1.55,Medium,Data Analysis,8.37
CSE26178,4,7,67.6,4,1,5.6,7.7,2.1,7.3,7.6,0.3,6.3,7.1,0.8,5.3,6.8,1.5,6.7,7.5,0.8,6.8,6.8,0.0,6.2,7.4,1.2,6.1,8.0,1.9,1.08,Medium,Programming,8.71
CSE26025,4,7,81.2,2,0,9.2,9.0,-0.2,9.7,7.3,-2.4,9.0,6.3,-2.7,10.0,6.5,-3.5,9.6,7.8,-1.8,10.0,6.9,-3.1,7.6,7.5,-0.1,8.2,8.4,0.2,-1.7,Low,Aptitude,10.0
CSE26076,4,8,74.8,3,0,6.2,7.8,1.6,6.0,6.7,0.7,5.1,6.7,1.6,4.5,7.2,2.7,5.2,8.3,3.1,5.9,7.6,1.7,6.2,7.6,1.4,4.2,7.8,3.6,2.05,High,Aptitude,8.28
CSE26120,4,8,62.9,4,1,5.7,7.6,1.9,5.6,6.8,1.2,5.6,6.7,1.1,3.7,7.5,3.8,4.1,8.5,4.4,6.0,6.4,0.4,6.2,7.7,1.5,4.8,8.0,3.2,2.19,High,Problem Solving,8.01
CSE26108,4,8,94.2,1,1,8.0,8.2,0.2,8.0,7.0,-1.0,7.2,6.0,-1.2,6.3,8.1,1.8,9.8,8.3,-1.5,7.5,6.8,-0.7,7.7,7.6,-0.1,8.0,8.2,0.2,-0.29,Low,Data Analysis,9.83
CSE26149,3,6,86.4,3,1,8.8,7.6,-1.2,7.8,7.6,-0.2,6.3,6.6,0.3,7.8,7.3,-0.5,9.0,9.2,0.2,8.7,7.1,-1.6,8.6,7.6,-1.0,7.8,7.4,-0.4,-0.55,Low,Cloud Computing,10.0
CSE26139,3,5,89.4,1,0,7.6,7.7,0.1,8.1,6.9,-1.2,6.9,7.7,0.8,8.6,6.6,-2.0,7.4,8.1,0.7,6.8,6.9,0.1,7.3,7.0,-0.3,8.8,7.9,-0.9,-0.34,Low,Cloud Computing,9.92
CSE26063,3,5,88.4,1,0,10.0,7.9,-2.1,7.7,6.9,-0.8,7.9,6.4,-1.5,7.2,7.1,-0.1,10.0,7.9,-2.1,9.1,7.6,-1.5,8.4,7.8,-0.6,7.6,7.6,0.0,-1.09,Low,Aptitude,10.0
CSE26171,3,5,67.8,2,1,5.6,8.0,2.4,5.8,6.9,1.1,4.3,6.2,1.9,4.2,7.3,3.1,7.5,7.9,0.4,5.2,6.8,1.6,5.4,7.4,2.0,5.2,7.8,2.6,1.89,High,Data Analysis,8.28
CSE26131,4,8,75.8,4,1,7.5,8.1,0.6,7.0,7.4,0.4,5.2,6.8,1.6,5.7,6.4,0.7,7.1,7.4,0.3,6.7,6.8,0.1,7.3,7.6,0.3,6.9,8.1,1.2,0.65,Low,Cloud Computing,9.39
CSE26060,4,7,73.5,1,3,3.6,8.2,4.6,5.6,7.4,1.8,5.6,6.5,0.9,6.1,6.8,0.7,6.7,8.6,1.9,5.1,6.9,1.8,6.5,6.4,-0.1,4.5,7.7,3.2,1.85,High,Programming,7.77
CSE26072,4,8,86.1,2,1,6.7,8.0,1.3,8.1,7.5,-0.6,6.9,7.0,0.1,7.6,6.6,-1.0,8.9,8.7,-0.2,7.9,6.9,-1.0,8.0,7.7,-0.3,7.3,8.1,0.8,-0.11,Low,Programming,10.0
CSE26170,4,8,83.0,3,1,9.6,7.7,-1.9,8.7,7.3,-1.4,6.8,7.1,0.3,7.9,7.1,-0.8,8.7,8.4,-0.3,8.0,6.9,-1.1,7.8,6.7,-1.1,7.2,7.4,0.2,-0.76,Low,Cloud Computing,10.0
CSE26074,4,8,74.1,6,2,6.9,8.2,1.3,8.3,6.2,-2.1,8.1,7.0,-1.1,7.0,7.2,0.2,8.4,7.7,-0.7,8.5,7.0,-1.5,9.9,7.7,-2.2,9.6,7.8,-1.8,-0.99,Low,Programming,10.0
